id	label	description	x	y	cluster	weight
615	615	"<table><tr><td>Micro-level field;</td><td>615</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee power and energy society general meeting pesgm; ieee transactions on energy conversion; ieee industrial electronics society; iet renewable power generation; energies</td></tr><tr><td>Terms;</td><td>variable speed wind turbine; dfig; fed induction generator; wind turbine; wind generation</td></tr></table>"	0.8507	0.2247	5	131
1264	1264	"<table><tr><td>Micro-level field;</td><td>1264</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>renewable energy; journal of physics conference series; wind energy; energies; energy</td></tr><tr><td>Terms;</td><td>wind turbine; wind farm; vertical axis wind turbine; complex terrain</td></tr></table>"	0.7437	0.0233	3	56
331	331	"<table><tr><td>Micro-level field;</td><td>331</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee transactions on power electronics; ieee industrial electronics society; ieee energy conversion congress and exposition; ieee transactions on industrial electronics; annual ieee applied power electronics conference and exposition (apec)</td></tr><tr><td>Terms;</td><td>modular multilevel converter; mmc; selective harmonic elimination; hvdc application; capacitor voltage balancing</td></tr></table>"	0.8596	0.2183	5	40
257	257	"<table><tr><td>Micro-level field;</td><td>257</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on smart grid; energies; ieee power and energy society general meeting pesgm; ieee industrial electronics society; ieee transactions on power systems</td></tr><tr><td>Terms;</td><td>dc microgrid; constant power load; virtual synchronous generator; droop control; inverter</td></tr></table>"	0.8349	0.2419	5	34
256	256	"<table><tr><td>Micro-level field;</td><td>256</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee industrial electronics society; ieee transactions on power electronics; ieee energy conversion congress and exposition; ieee transactions on industrial electronics; annual ieee applied power electronics conference and exposition (apec)</td></tr><tr><td>Terms;</td><td>shunt active power filter; lcl filter; dynamic voltage restorer; unified power quality conditioner; upqc</td></tr></table>"	0.8579	0.2214	5	21
981	981	"<table><tr><td>Micro-level field;</td><td>981</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>energies; lecture notes in computer science; energy; international journal of forecasting; applied energy</td></tr><tr><td>Terms;</td><td>short term load forecasting; wind speed; electricity price forecasting; wind speed forecasting; day</td></tr></table>"	0.6364	0.3591	5	17
282	282	"<table><tr><td>Micro-level field;</td><td>282</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on magnetics; international conference on electrical machines and systems icems; ieee transactions on industry applications; ieee energy conversion congress and exposition; ieee transactions on industrial electronics</td></tr><tr><td>Terms;</td><td>torque reduction; cogging torque; axial flux permanent magnet machine; slot; electrical machine</td></tr></table>"	0.857	0.2099	5	11
1437	1437	"<table><tr><td>Micro-level field;</td><td>1437</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee industrial electronics society; ieee transactions on industrial electronics; ieee transactions on power electronics; ieee energy conversion congress and exposition; international conference on electrical machines and systems icems</td></tr><tr><td>Terms;</td><td>indirect matrix converter; phase pmsm; phase induction machine; predictive torque control</td></tr></table>"	0.8588	0.2193	5	9
679	679	"<table><tr><td>Micro-level field;</td><td>679</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>mechanical systems and signal processing; measurement; ieee access; shock and vibration; sensors</td></tr><tr><td>Terms;</td><td>rolling bearing; empirical mode decomposition; machinery; acoustic emission; emd</td></tr></table>"	0.7664	0.2449	3	7
588	588	"<table><tr><td>Micro-level field;</td><td>588</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>solar energy; ieee transactions on power electronics; ieee energy conversion congress and exposition; annual ieee applied power electronics conference and exposition (apec); ieee industrial electronics society</td></tr><tr><td>Terms;</td><td>maximum power point tracking; photovoltaic module; partial shading condition; mppt; pv array</td></tr></table>"	0.8558	0.2169	5	6
1694	1694	"<table><tr><td>Micro-level field;</td><td>1694</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ocean engineering; renewable energy; international offshore and polar engineering conference proceedings; energies; applied ocean research</td></tr><tr><td>Terms;</td><td>wave energy converter; wells turbine; oscillating water column; linear generator; moonpool</td></tr></table>"	0.7426	0.0231	3	6
237	237	"<table><tr><td>Micro-level field;</td><td>237</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science</td></tr><tr><td>Sources;</td><td>ieee transactions on power systems; ieee power and energy society general meeting pesgm; international journal of electrical power & energy systems; iet generation transmission & distribution; electric power systems research</td></tr><tr><td>Terms;</td><td>power system stabilizer; upfc; unified power flow controller; multimachine power system; inter area oscillation</td></tr></table>"	0.836	0.2507	5	6
378	378	"<table><tr><td>Micro-level field;</td><td>378</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on power systems; ieee power and energy society general meeting pesgm; international journal of electrical power & energy systems; energy policy; electric power systems research</td></tr><tr><td>Terms;</td><td>unit commitment problem; transmission expansion planning; valve point effect; market power; economic load dispatch problem</td></tr></table>"	0.7423	0.304	5	6
2033	2033	"<table><tr><td>Micro-level field;</td><td>2033</td></tr><tr><td>Main fields;</td><td>Mathematics and computer science; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>ieee transactions on industry applications; ieee industrial electronics society; ieee transactions on industrial electronics; ieee industry applications society annual meeting; ieee energy conversion congress and exposition</td></tr><tr><td>Terms;</td><td>induction machine; stator; pmsm; phase induction motor; permanent magnet synchronous motor</td></tr></table>"	0.8502	0.2207	5	5
1787	1787	"<table><tr><td>Micro-level field;</td><td>1787</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>optics express; ieee transactions on antennas and propagation; ieee antennas and propagation society international symposium; microwave and optical technology letters; ieee antennas and wireless propagation letters</td></tr><tr><td>Terms;</td><td>metamaterial absorber; frequency selective surface; fss; perfect absorber</td></tr></table>"	0.9201	-0.364	3	4
2352	2352	"<table><tr><td>Micro-level field;</td><td>2352</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>aiaa journal; journal of aircraft; aip advances; aip conference proceedings; experiments in fluids</td></tr><tr><td>Terms;</td><td>dielectric barrier discharge plasma actuator; synthetic jet actuator; piezoelectric fan; dbd plasma actuator; gurney flap</td></tr></table>"	0.7667	-0.1209	3	4
1806	1806	"<table><tr><td>Micro-level field;</td><td>1806</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>solar energy; renewable energy; energy conversion and management; energies; energy procedia</td></tr><tr><td>Terms;</td><td>global solar radiation; satellite; solar irradiance; active radiation; sunshine duration</td></tr></table>"	0.6226	0.184	3	4
2985	2985	"<table><tr><td>Micro-level field;</td><td>2985</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>energy; applied energy; energy procedia; energy conversion and management; journal of energy storage</td></tr><tr><td>Terms;</td><td>compressed air energy storage system; caes; compressed air; air; thermodynamic analysis</td></tr></table>"	0.735	0.172	3	4
3904	3904	"<table><tr><td>Micro-level field;</td><td>3904</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>proceedings of the american control conference; renewable energy; ieee conference on decision and control; ieee transactions on control systems technology; journal of guidance control and dynamics</td></tr><tr><td>Terms;</td><td>airborne wind energy system; kite; power kite; kite power system; inertia property</td></tr></table>"	0.8157	0.1927	3	4
1442	1442	"<table><tr><td>Micro-level field;</td><td>1442</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>renewable energy; renewable & sustainable energy reviews; international journal of hydrogen energy; energy; energy conversion and management</td></tr><tr><td>Terms;</td><td>wind energy potential; algeria; hybrid renewable energy system; wind resource assessment; pakistan</td></tr></table>"	0.7144	0.1851	3	4
1123	1123	"<table><tr><td>Micro-level field;</td><td>1123</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>proceedings of spie; smart materials and structures; journal of physics conference series; journal of intelligent material systems and structures; sensors and actuators a-physical</td></tr><tr><td>Terms;</td><td>piezoelectric energy harvester; vibration energy harvesting; vibration; design; modeling</td></tr></table>"	0.8091	-0.1003	3	4
350	350	"<table><tr><td>Micro-level field;</td><td>350</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>langmuir; applied surface science; acs applied materials & interfaces; rsc advances; journal of colloid and interface science</td></tr><tr><td>Terms;</td><td>oil water separation; superhydrophobicity; self cleaning; facile fabrication; corrosion resistance</td></tr></table>"	0.553	-0.4461	3	4
67	67	"<table><tr><td>Micro-level field;</td><td>67</td></tr><tr><td>Main fields;</td><td>Biomedical and health sciences</td></tr><tr><td>Sources;</td><td>pain; neuroscience letters; neuroscience; european journal of pain; brain research</td></tr><tr><td>Terms;</td><td>pregabalin; morphine; gabapentin; neuropathic pain; antinociceptive effect</td></tr></table>"	-0.8019	0.0223	2	3
4	4	"<table><tr><td>Micro-level field;</td><td>4</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>carbon; applied physics letters; physical review b; nanotechnology; journal of physical chemistry c</td></tr><tr><td>Terms;</td><td>poly; carbon nanotube field effect transistor; carbon nanotube growth; electrical property; field emission</td></tr></table>"	0.6618	-0.4998	3	3
