label	sublabel	description	x	y	cluster	weight
"direct contact membrane distillation; solar pond; solar energy; solar desalination; membrane distillation process"	2408	"<table><tr><td>Micro-level field;</td><td>1605</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Life and earth sciences</td></tr><tr><td>Sources;</td><td>desalination; desalination and water treatment; journal of membrane science; solar energy; energy conversion and management</td></tr><tr><td>Terms;</td><td>direct contact membrane distillation; solar pond; solar energy; solar desalination; membrane distillation process</td></tr></table>"	0.5297	-0.3756	3	2408
"biogas production; anaerobic digestion; biogas; methane yield; biochemical methane potential"	592	"<table><tr><td>Micro-level field;</td><td>259</td></tr><tr><td>Main fields;</td><td>Life and earth sciences; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>bioresource technology; water science and technology; water research; waste management; environmental technology</td></tr><tr><td>Terms;</td><td>biogas production; anaerobic digestion; biogas; methane yield; biochemical methane potential</td></tr></table>"	0.0906	-0.3105	4	592
"submerged membrane bioreactor; aerobic granule; anammox; mbr; anaerobic ammonium oxidation"	540	"<table><tr><td>Micro-level field;</td><td>217</td></tr><tr><td>Main fields;</td><td>Life and earth sciences</td></tr><tr><td>Sources;</td><td>water science and technology; bioresource technology; water research; desalination and water treatment; environmental technology</td></tr><tr><td>Terms;</td><td>submerged membrane bioreactor; aerobic granule; anammox; mbr; anaerobic ammonium oxidation</td></tr></table>"	0.0922	-0.3095	4	540
"ground source heat pump system; borehole heat exchanger; ground; energy pile; thermal response test"	399	"<table><tr><td>Micro-level field;</td><td>1978</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>energy and buildings; applied thermal engineering; geothermics; renewable energy; energy procedia</td></tr><tr><td>Terms;</td><td>ground source heat pump system; borehole heat exchanger; ground; energy pile; thermal response test</td></tr></table>"	0.6306	-0.1154	3	399
"carbonation; carbon capture; saline aquifer; co2 leakage; geological storage"	353	"<table><tr><td>Micro-level field;</td><td>1366</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Life and earth sciences</td></tr><tr><td>Sources;</td><td>energy procedia; international journal of greenhouse gas control; greenhouse gases-science and technology; environmental science & technology; environmental earth sciences</td></tr><tr><td>Terms;</td><td>carbonation; carbon capture; saline aquifer; co2 leakage; geological storage</td></tr></table>"	0.5312	-0.2024	3	353
"nanofiltration membrane; microfiltration; forward osmosis; reverse osmosis membrane; rejection"	233	"<table><tr><td>Micro-level field;</td><td>137</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Life and earth sciences</td></tr><tr><td>Sources;</td><td>journal of membrane science; desalination; desalination and water treatment; separation and purification technology; journal of applied polymer science</td></tr><tr><td>Terms;</td><td>nanofiltration membrane; microfiltration; forward osmosis; reverse osmosis membrane; rejection</td></tr></table>"	0.4247	-0.4473	3	233
"moringa oleifera; coagulation performance; bioflocculant; coagulant"	121	"<table><tr><td>Micro-level field;</td><td>1456</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Life and earth sciences</td></tr><tr><td>Sources;</td><td>water research; desalination and water treatment; water science and technology; chemical engineering journal; separation and purification technology</td></tr><tr><td>Terms;</td><td>moringa oleifera; coagulation performance; bioflocculant; coagulant</td></tr></table>"	0.2569	-0.3907	3	121
"organic rankine cycle; orc; liquefied natural gas; lng; kalina cycle"	113	"<table><tr><td>Micro-level field;</td><td>1752</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>energy; energy conversion and management; applied thermal engineering; energy procedia; applied energy</td></tr><tr><td>Terms;</td><td>organic rankine cycle; orc; liquefied natural gas; lng; kalina cycle</td></tr></table>"	0.6928	-0.2069	3	113
"biomass; biofuel; switchgrass; life cycle assessment; energy"	45	"<table><tr><td>Micro-level field;</td><td>733</td></tr><tr><td>Main fields;</td><td>Life and earth sciences; Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>biomass & bioenergy; global change biology bioenergy; renewable & sustainable energy reviews; journal of cleaner production; bioenergy research</td></tr><tr><td>Terms;</td><td>biomass; biofuel; switchgrass; life cycle assessment; energy</td></tr></table>"	0.1081	-0.0342	4	45
"microchannel; critical heat flux; flow boiling; pool; nucleate pool"	38	"<table><tr><td>Micro-level field;</td><td>627</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>international journal of heat and mass transfer; applied thermal engineering; journal of heat transfer-transactions of the asme; experimental thermal and fluid science; international journal of refrigeration-revue internationale du froid</td></tr><tr><td>Terms;</td><td>microchannel; critical heat flux; flow boiling; pool; nucleate pool</td></tr></table>"	0.7184	-0.2318	3	38
