label	sublabel	description	x	y	cluster	weight
"quantum dot; cdse nanocrystal; diode; semiconductor quantum dot; zns nanoparticle"	4759	"<table><tr><td>Micro-level field;</td><td>66</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>journal of physical chemistry c; nano letters; proceedings of spie; journal of the american chemical society; acs nano</td></tr><tr><td>Terms;</td><td>quantum dot; cdse nanocrystal; diode; semiconductor quantum dot; zns nanoparticle</td></tr></table>"	0.646	-0.5371	3	4759
"hydrogen production; parabolic trough solar collector; hydrogen; co2; methane"	2601	"<table><tr><td>Micro-level field;</td><td>1604</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>solar energy; international journal of hydrogen energy; energy procedia; aip conference proceedings; journal of solar energy engineering-transactions of the asme</td></tr><tr><td>Terms;</td><td>hydrogen production; parabolic trough solar collector; hydrogen; co2; methane</td></tr></table>"	0.6972	-0.2336	3	2601
"silicon nanowire; molecular beam epitaxy; gaas; germanium nanowire"	2028	"<table><tr><td>Micro-level field;</td><td>772</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>nano letters; applied physics letters; nanotechnology; journal of applied physics; journal of crystal growth</td></tr><tr><td>Terms;</td><td>silicon nanowire; molecular beam epitaxy; gaas; germanium nanowire</td></tr></table>"	0.7792	-0.4897	3	2028
"co3o4; co3o4 nanoparticle; cobalt oxide; thermal stability; selective solar absorber"	1502	"<table><tr><td>Micro-level field;</td><td>3045</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>solar energy materials and solar cells; solar energy; applied surface science; journal of alloys and compounds; thin solid films</td></tr><tr><td>Terms;</td><td>co3o4; co3o4 nanoparticle; cobalt oxide; thermal stability; selective solar absorber</td></tr></table>"	0.6681	-0.5398	3	1502
"pv t; photovoltaic thermal system; flat plate solar collector; solar air heater; compound parabolic concentrator"	1410	"<table><tr><td>Micro-level field;</td><td>1743</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>solar energy; renewable energy; energy procedia; energy conversion and management; applied energy</td></tr><tr><td>Terms;</td><td>pv t; photovoltaic thermal system; flat plate solar collector; solar air heater; compound parabolic concentrator</td></tr></table>"	0.6957	-0.2031	3	1410
"polymer solar cells; photovoltaic performance; bulk heterojunction solar cell; open circuit voltage; organic photovoltaics"	1160	"<table><tr><td>Micro-level field;</td><td>87</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>organic electronics; solar energy materials and solar cells; applied physics letters; acs applied materials & interfaces; journal of materials chemistry a</td></tr><tr><td>Terms;</td><td>polymer solar cells; photovoltaic performance; bulk heterojunction solar cell; open circuit voltage; organic photovoltaics</td></tr></table>"	0.5463	-0.5712	3	1160
"nematic elastomer; photoinduced birefringence; surface relief grating; azopolymer; liquid crystal elastomer"	1143	"<table><tr><td>Micro-level field;</td><td>1775</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>proceedings of spie; molecular crystals and liquid crystals; macromolecules; applied physics letters; japanese journal of applied physics</td></tr><tr><td>Terms;</td><td>nematic elastomer; photoinduced birefringence; surface relief grating; azopolymer; liquid crystal elastomer</td></tr></table>"	0.5373	-0.5011	3	1143
"layer; polyelectrolyte multilayer; layer assembly; microcapsule; multilayer film"	917	"<table><tr><td>Micro-level field;</td><td>1401</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>langmuir; macromolecules; soft matter; biomacromolecules; colloids and surfaces a-physicochemical and engineering aspects</td></tr><tr><td>Terms;</td><td>layer; polyelectrolyte multilayer; layer assembly; microcapsule; multilayer film</td></tr></table>"	0.3653	-0.5079	3	917
"preparation; pcm; phase change material; paraffin; thermal property"	767	"<table><tr><td>Micro-level field;</td><td>921</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>applied thermal engineering; applied energy; energy and buildings; solar energy materials and solar cells; energy procedia</td></tr><tr><td>Terms;</td><td>preparation; pcm; phase change material; paraffin; thermal property</td></tr></table>"	0.6945	-0.2316	3	767
"photothermal therapy; agent; gold nanorod; cellular uptake; cytotoxicity"	724	"<table><tr><td>Micro-level field;</td><td>201</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering</td></tr><tr><td>Sources;</td><td>langmuir; journal of physical chemistry c; journal of the american chemical society; nanoscale; rsc advances</td></tr><tr><td>Terms;</td><td>photothermal therapy; agent; gold nanorod; cellular uptake; cytotoxicity</td></tr></table>"	0.5306	-0.5161	3	724
"thin film transistor; igzo; amorphous indium gallium zinc oxide thin film transistor; igzo tfts"	718	"<table><tr><td>Micro-level field;</td><td>1450</td></tr><tr><td>Main fields;</td><td>Physical sciences and engineering; Mathematics and computer science</td></tr><tr><td>Sources;</td><td>applied physics letters; ieee electron device letters; ieee transactions on electron devices; japanese journal of applied physics; thin solid films</td></tr><tr><td>Terms;</td><td>thin film transistor; igzo; amorphous indium gallium zinc oxide thin film transistor; igzo tfts</td></tr></table>"	0.7406	-0.5168	3	718
